Source,Target,Relation type
9,28,Congregation
28,67,Congregation
9,67,Congregation
28,68,Congregation
9,68,Congregation
39,213,Organisation
19,33,Organisation
16,33,Organisation
34,35,Organisation
39,45,Organisation
39,47,Organisation
16,3,Organisation
45,47,Organisation
16,19,Organisation
63,231,Organisation
232,231,Organisation
213,45,Organisation
63,232,Organisation
3,19,Organisation
213,47,Organisation
3,33,Organisation
213,212,Contact
27,26,Contact
66,68,Contact
0,213,Contact
65,68,Contact
23,11,Contact
17,11,Contact
65,67,Contact
227,225,Contact
39,213,Contact
23,232,Contact
65,66,Contact
67,66,Contact
